"County","Sector","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"TRINITY","Residential","      10.979888","      10.566031","       9.517829","      10.070621","      11.466836","      10.834642","      10.104943","      10.276209","      11.067992","      11.337604","      11.472200","      11.181879","      10.583200","       9.961603","       9.410624","       8.548091","       8.258118","       8.393645","       7.839283","       7.947296","       7.554643","       7.868440","       7.574803","       7.393925","       7.337407","       7.248651","       7.045808","       7.025787","      17.383441","      25.816312","      26.623264","      26.298566","     354.989581"
"TRINITY","Total","     158.898231","     149.610149","     134.923613","     130.482588","     137.282870","     128.565198","     111.156772","     117.689096","     119.388326","     111.923731","     121.055581","      88.636060","      93.614467","      12.384944","      11.402509","      71.331277","      72.082278","      15.351407","      23.553851","      23.034470","       9.762866","      10.348639","      10.374431","       9.706855","      10.202311","      10.216828","      10.048588","      10.112048","      23.705185","      35.354918","      36.874063","      36.393096","    2045.467246"
"TULARE","Non-Residential","    3424.926743","    3163.114313","    2926.439701","    3181.121663","    2965.363199","    3145.180433","    3259.853233","    3269.918466","    3109.574517","    2980.828753","    2584.111587","    2676.897379","    2791.888980","    2760.288045","    2653.344967","    2499.156758","    2276.247589","    2290.596697","    2216.893407","    2524.664356","    2372.987208","    2383.457810","    2308.351244","    1714.517731","    1853.446262","    1778.273719","    1650.016504","    1747.190856","    1611.596101","    1776.143753","    1721.519039","    1788.022809","   79405.933822"
"TULARE","Residential","    1453.529803","    1479.691778","    1322.696720","    1256.899657","    1278.518130","    1218.015524","    1217.264382","    1222.446414","    1207.125334","    1182.437774","    1162.597186","    1139.548565","    1187.834849","    1161.833382","    1117.486550","    1191.649757","    1085.305396","    1046.683388","    1037.992959","     941.856796","     923.790627","     961.793645","     889.036948","     890.108631","     875.533090","     875.439751","     829.967205","     834.705547","     812.396109","     820.298247","     807.148766","     788.669980","   34220.302890"
"TULARE","Total","    4878.456546","    4642.806091","    4249.136420","    4438.021320","    4243.881329","    4363.195956","    4477.117615","    4492.364880","    4316.699850","    4163.266527","    3746.708773","    3816.445944","    3979.723830","    3922.121427","    3770.831517","    3690.806516","    3361.552985","    3337.280085","    3254.886366","    3466.521152","    3296.777836","    3345.251455","    3197.388192","    2604.626362","    2728.979352","    2653.713470","    2479.983709","    2581.896404","    2423.992211","    2596.442000","    2528.667805","    2576.692790","  113626.236715"
"TUOLUMNE","Non-Residential","     254.146429","     233.526680","     240.898769","     244.790321","     243.531187","     238.282526","     235.269209","     234.039385","     240.763618","     233.464270","     224.999074","     211.800938","     222.367042","     203.314910","     210.541422","     503.206206","     261.292037","     222.674649","     205.366731","     218.972553","     217.069701","     247.175337","     229.161142","     222.044267","     189.580156","     164.130195","     212.190963","     239.120033","     268.216975","     253.808013","     248.558790","     247.077631","    7621.381159"
"TUOLUMNE","Residential","     236.423401","     225.817354","     211.080586","     208.626816","     217.220577","     209.496378","     206.746534","     206.394527","     220.057501","     220.626327","     220.781305","     223.120162","     224.598021","     224.826821","     223.197441","     219.319629","     213.712291","     217.990678","     207.067567","     208.126042","     200.323222","     207.414036","     206.826367","     203.618627","     191.286347","     189.765704","     186.285027","     185.058503","     187.026583","     181.083104","     186.355869","     184.325696","    6654.599043"
"TUOLUMNE","Total","     490.569830","     459.344034","     451.979355","     453.417136","     460.751763","     447.778904","     442.015743","     440.433912","     460.821120","     454.090597","     445.780380","     434.921101","     446.965063","     428.141731","     433.738863","     722.525835","     475.004328","     440.665328","     412.434298","     427.098595","     417.392923","     454.589373","     435.987509","     425.662893","     380.866502","     353.895899","     398.475991","     424.178536","     455.243558","     434.891116","     434.914659","     431.403327","   14275.980202"
"VENTURA","Non-Residential","    3358.873348","    3438.904707","    3602.761644","    3654.930380","    3681.758604","    3677.232895","    3774.074613","    3581.216316","    3496.142687","    3603.209424","    3669.891625","    3662.761125","    3731.822330","    4026.761862","    3855.335850","    3925.706373","    3863.204331","    3833.393092","    3647.245704","    3995.823340","    3631.755263","    4219.879177","    3851.578802","    3529.880207","    3386.577083","    3234.965900","    3169.761569","    3131.497167","    3088.869198","    3029.454746","    3062.385239","    3140.335462","  114557.990063"
"VENTURA","Residential","    1883.436548","    2023.027695","    1859.920027","    1792.317836","    1827.933348","    1778.723993","    1817.453627","    1905.507160","    1901.986362","    1918.996358","    1800.861122","    1788.889010","    1855.118073","    1891.185623","    1840.943618","    1765.024934","    1785.617789","    1743.615464","    1692.275012","    1582.514287","    1533.135745","    1652.825607","    1519.146669","    1462.680976","    1481.608592","    1426.889935","    1385.918311","    1395.507016","    1351.133971","    1371.460201","    1348.884490","    1349.773045","   53734.312444"
"VENTURA","Total","    5242.309896","    5461.932402","    5462.681670","    5447.248216","    5509.691952","    5455.956888","    5591.528240","    5486.723476","    5398.129049","    5522.205781","    5470.752747","    5451.650135","    5586.940402","    5917.947485","    5696.279468","    5690.731308","    5648.822120","    5577.008556","    5339.520716","    5578.337627","    5164.891008","    5872.704785","    5370.725471","    4992.561183","    4868.185675","    4661.855835","    4555.679880","    4527.004183","    4440.003169","    4400.914947","    4411.269730","    4490.108507","  168292.302507"
"YOLO","Non-Residential","    1228.350239","    1200.933084","    1202.699561","    1201.438595","    1205.896977","    1195.600190","    1195.184857","    1230.988565","    1192.280387","    1162.974966","    1148.666969","    1104.223128","    1164.472828","    1112.051954","    1130.946577","    1201.019539","    1205.511740","    1052.753164","     947.181012","    1077.013363","     935.803159","    1013.249995","    1144.016091","     915.723854","     890.664900","     891.751584","     852.749983","     857.391257","     821.735389","     780.300994","     777.084849","     780.076006","   33820.735756"
"YOLO","Residential","     587.475526","     590.156247","     532.248490","     516.612804","     540.078941","     510.350832","     507.217327","     508.147701","     510.651250","     513.363201","     500.524435","     494.611918","     514.754319","     508.141190","     498.427208","     511.798595","     492.503669","     473.915433","     473.506280","     437.419409","     416.865691","     444.357865","     419.297392","     407.010551","     401.931353","     395.182263","     364.965623","     362.160463","     366.895768","     366.594257","     361.263298","     361.662528","   14890.091827"
"YOLO","Total","    1815.825766","    1791.089331","    1734.948050","    1718.051399","    1745.975918","    1705.951022","    1702.402184","    1739.136266","    1702.931637","    1676.338168","    1649.191404","    1598.835046","    1679.227147","    1620.193145","    1629.373785","    1712.818134","    1698.015409","    1526.668597","    1420.687292","    1514.432772","    1352.668850","    1457.607861","    1563.313483","    1322.734405","    1292.596253","    1286.933847","    1217.715606","    1219.551720","    1188.631157","    1146.895251","    1138.348147","    1141.738534","   48710.827586"
"YUBA","Non-Residential","     315.822249","     315.146154","     286.972867","     284.680316","     276.891941","     267.438730","     269.037235","     273.711156","     276.776936","     265.552304","     262.487250","     261.492665","     307.010995","     263.236368","     276.506080","     339.463987","     334.822025","     290.965118","     206.742143","     457.177985","     348.966719","     350.347205","     462.152821","     294.566622","     291.679399","     306.485791","     284.006126","     303.530840","     289.966296","     322.863967","     323.934790","     310.463080","    9720.898160"
"YUBA","Residential","     260.500675","     251.861806","     225.309080","     219.788601","     229.153606","     215.020015","     210.026148","     214.946328","     212.640647","     215.816250","     208.887004","     203.825510","     205.384934","     200.148010","     198.684861","     193.672975","     183.288672","     171.577850","     158.198050","     154.456146","     148.306897","     155.189816","     151.844232","     148.137424","     146.173412","     148.199468","     139.638867","     141.866205","     140.554885","     141.721570","     139.556078","     137.659067","    5872.035089"
"YUBA","Total","     576.322924","     567.007959","     512.281946","     504.468917","     506.045547","     482.458745","     479.063382","     488.657485","     489.417583","     481.368553","     471.374254","     465.318176","     512.395929","     463.384378","     475.190941","     533.136962","     518.110696","     462.542968","     364.940192","     611.634131","     497.273616","     505.537021","     613.997052","     442.704047","     437.852811","     454.685259","     423.644993","     445.397045","     430.521181","     464.585537","     463.490868","     448.122147","   15592.933245"
